client1,client2,client3,client4,client5,client6,client7,client8,client9,client10
3.700403614959632e-08,3.4724997363562824e-08,3.087424915319082e-08,3.236855078498553e-08,4.1389428089106945e-08,3.541682602501005e-08,3.3291221423880993e-08,3.8476040508438435e-08,3.257038428331277e-08,3.085605018876663e-08
5.2403109619144637e-08,5.53199142910025e-08,5.072244640690343e-08,5.9064168761309215e-08,5.259064634715137e-08,4.8906738463330316e-08,4.611047802440865e-08,4.8207783694026e-08,4.3346270054407576e-08,5.332926776929524e-08
1.3997895932641893e-06,1.2188006289333118e-06,1.1232287916437012e-06,1.2043866822280855e-06,1.0580206301889882e-06,1.2130369880204931e-06,1.2472486463817878e-06,1.2033925622458097e-06,1.0292318973351519e-06,1.1497899905213338e-06
2.0172903427695392e-06,1.6595975574996617e-06,2.2206707813092458e-06,1.921187666117316e-06,1.931217803751012e-06,1.8077972278908005e-06,1.770372057099547e-06,1.7776019865692484e-06,1.9425348938093233e-06,1.985956006490859e-06
2.0363400632192884e-06,2.1672753080393622e-06,2.3146898672134365e-06,2.29606019488711e-06,2.502406248797068e-06,2.189007963964961e-06,2.1126906551091955e-06,2.223795772391012e-06,1.9051184195042897e-06,2.042333603340942e-06
2.2277304288085295e-06,2.2083423161731736e-06,2.4882227982735964e-06,1.9999902690565586e-06,2.1654667531175316e-06,2.6374531055150915e-06,2.307753614677599e-06,2.352298407627462e-06,2.317640841433633e-06,2.2669616065451444e-06
2.3683138302652423e-06,2.5307536575000056e-06,2.4545184260813906e-06,2.7326141174521074e-06,2.381111803214183e-06,2.0746239831601306e-06,2.2055353063986203e-06,2.348979535493198e-06,2.317486300289326e-06,2.331691322565847e-06
2.4165472994224706e-06,2.420019334570548e-06,2.4244838650062516e-06,2.4352495106046848e-06,2.292265827342567e-06,2.391534899831431e-06,2.79339724786949e-06,2.640061695511902e-06,2.482599245160525e-06,2.1189870671352036e-06
2.7055509655438408e-06,2.4144898766114947e-06,2.368339986788874e-06,2.8158168925330413e-06,2.430479112768958e-06,2.536367901732837e-06,2.4752561660136066e-06,2.484644660780732e-06,2.306814458204975e-06,2.1766668378786634e-06
2.5531980443004918e-06,2.20698553770235e-06,2.3498154407366807e-06,2.5188740779122566e-06,2.451293318061419e-06,2.4610621713528215e-06,2.6973784847474063e-06,2.4965456781143745e-06,2.4496469495620463e-06,2.8630900355643113e-06
2.476503375726536e-06,2.4769281780347685e-06,2.339228975566477e-06,2.8473623468954024e-06,2.510000327231386e-06,2.587610008541434e-06,2.1529760126332513e-06,2.7419031443636807e-06,2.5196274664978117e-06,2.4430119247896132e-06
2.473737423262249e-06,2.784816648372459e-06,2.4933979160097347e-06,2.8934234423720366e-06,2.6104331404601277e-06,2.5393267166331566e-06,2.4971654431580954e-06,2.2179770205546074e-06,2.317929957669665e-06,2.5126392381588967e-06
2.5072977830512093e-06,2.4938061200201144e-06,2.5921332816052466e-06,2.2036243977131855e-06,2.359700174926089e-06,2.4766851958761473e-06,2.488324678825014e-06,2.4932644374521254e-06,2.8749393661368827e-06,2.7399095785600557e-06
2.493807036594901e-06,2.7530852488906507e-06,2.4791616786059903e-06,2.528607849266764e-06,2.4922132955737828e-06,2.5370455315765085e-06,2.332645617633433e-06,2.226486972996809e-06,2.8431208624624194e-06,2.606495105641395e-06
2.8889109259499298e-06,2.555358760090689e-06,2.560390593568517e-06,2.474396349215289e-06,2.342825211957866e-06,2.2150441878232117e-06,2.5183153905108212e-06,2.7598136254512733e-06,2.4219576321254175e-06,2.517455255255676e-06
2.4798802017425983e-06,2.8276895394047817e-06,2.7051987312750885e-06,2.5700991353419067e-06,2.46721953693111e-06,2.4899300920742013e-06,2.4433560699729465e-06,2.5095566050148274e-06,2.337200457107788e-06,2.1961133939881167e-06
2.4957296964869887e-06,2.526514810702604e-06,2.581643666961728e-06,2.869919339909662e-06,2.3018106014404787e-06,2.4518441679985843e-06,2.2206073873526086e-06,2.706588570779536e-06,2.5013805682165983e-06,2.5084063747234945e-06
2.4744478441450954e-06,2.7376583470394284e-06,2.4562826737115066e-06,2.442479317264699e-06,2.4957962869292245e-06,2.5787633759983414e-06,2.820358573577505e-06,2.5350852926893583e-06,2.144375668595844e-06,2.3151809273339493e-06
2.290548074718284e-06,2.823640563074005e-06,2.4697875788850348e-06,2.4285870238486194e-06,2.5441357468853686e-06,2.519241131250692e-06,2.1410471748850873e-06,2.451353493843119e-06,2.7166863146960153e-06,2.452418814530893e-06
2.7973294367807564e-06,2.1247754452213824e-06,2.2942902894563378e-06,2.550821699619905e-06,2.418847737486186e-06,2.6936502073697308e-06,2.518894626412905e-06,2.4039567779630117e-06,2.4866107994440887e-06,2.433958440984617e-06
2.3772087662899213e-06,2.4782942187302526e-06,2.459201412290988e-06,2.374949698518806e-06,2.7883912718321206e-06,2.5119734253682077e-06,2.6529985302158056e-06,2.4533673927314028e-06,2.2614453264323e-06,2.1517603772524303e-06
2.5107457452266874e-06,2.452800390616891e-06,2.3785562672972864e-06,2.360131495983328e-06,2.1011058771663256e-06,2.7478526180550413e-06,2.469525484617196e-06,2.241159089724925e-06,2.455253641081404e-06,2.6293681735281774e-06
2.233623938284306e-06,2.399875926725013e-06,2.7552698171503193e-06,2.3739589601090973e-06,2.4584815405229838e-06,2.1259522827074648e-06,2.453661898439167e-06,2.3859823915523136e-06,2.6191504452422865e-06,2.4826391367570093e-06
